objectid,file_name,title,writer_name,gender,location,longitude,latitude,publisher,publication_date,year,month,day,page_number,related,tone/emotion,subject
df_069,df_1968-03-07.pdf,Give us Military Music,Ben Anorue,,Isiokpo,6.87262,5.00243,Daily Flash,1968_03_07,1968,March,7,,,,"Concerns, BR"
df_070,df_1968-03-07.pdf,God of Biafra,Joseph Chinedu,,Aba,7.373265,5.121588,Daily Flash,1968_03_07,1968,March,,,,,
df_071,df_1968-03-08.pdf,Enahoro-Another name for liar,C. Emeka Ashimole,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_08,1968,March,8,,,,"BR, Concerns, SU, Sports"
df_072,df_1968-03-08.pdf,Help Voluntary Workers,Nnochiri S. Ogbonnaya,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_08,1968,March,,,,,
df_073,df_1968-03-11.pdf,PH Bus Service,U. S. A. Aghanya,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_11,1968,March,11,,df_032; df_039; df_040,,"Concerns, BR"
df_074,df_1968-03-11.pdf,A Word for Harold Wilson,Biafra Youths Crusade,,,,,Daily Flash,1968_03_11,1968,March,,,,,
df_075,df_1968-03-12.pdf,Gowon can't escape hell,Ernie C. Onyia,,Elelenwa,7.07,4.83694,Daily Flash,1968_03_12,1968,March,12,,,,"Women, BR, Nat ID, Concerns"
df_076,df_1968-03-12.pdf,We must redouyble our Vigilance,A. D. Ukaegbu,,Owerri,7.03325,5.48363,Daily Flash,1968_03_12,1968,March,,,,,
df_077,df_1968-03-13.pdf,We shall go on fighting,E. C. D. Agugua,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_13,1968,March,13,,,,"Women, Nat ID"
df_078,df_1968-03-19.pdf,Transport for Combing,C. I. Okereke,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_19,1968,March,19,,,,"Women, Concerns, Odinamadu"
df_079,df_1968-03-19.pdf,Nigerian Vandal's Creed,Alex Okoro Oji,Male,Omoba,7.40623,5.24268,Daily Flash,1968_03_19,1968,March,,,,,
df_080,df_1968-03-20.pdf,God's Wisdom,Henry C. Chukuani,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_20,1968,March,20,4,,,"Concerns, Nat ID, Blue"
df_081,df_1968-03-20.pdf,A Great Shock,Okechukwu Nweke,Male,Ikot Ekpene,7.71481,5.18194,Daily Flash,1968_03_20,1968,March,,,,,
df_082,df_1968-03-20.pdf,Lagos Street in Biafra?,A. D. Jumbo,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_20,1968,March,,,,,
df_083,df_1968-03-21.pdf,Biafra should be recognised?,Comfort Ada Paul,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_21,1968,March,21,4,,,"Women, Concerns, TZN, Policies"
df_084,df_1968-03-21.pdf,No praise for Scouts?,I. N. Abai,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_21,1968,March,,,,,
df_085,df_1968-03-22.pdf,Back to Land,E. O. Itigwe-Akobundu,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_22,1968,March,22,3,,,"SU, BR"
df_086,df_1968-03-25.pdf,What we want is Action,Ben A. Agu,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_25,1968,March,25,4,df_084,,"Policies, Concerns, GH"
df_087,df_1968-03-25.pdf,Do away with Nigerian Coins,Mb. W. Yobo,,Bori,7.36519,4.67629,Daily Flash,1968_03_25,1968,March,,,,,
df_088,df_1968-03-26.pdf,No Overtime in BPA,E. N. I. Ezeji,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_26,1968,March,26,2,,,"SU, Concerns"
df_089,df_1968-03-26.pdf,Transport for Combing,Iheonye Orunta,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_26,1968,March,,,df_078,,
df_090,df_1968-03-28.pdf,The Canaan of Africa,Sunny Ojeh,,Aba,7.373265,5.121588,Daily Flash,1968_03_28,1968,March,28,4,,,Concerns
df_091,df_1968-03-29.pdf,Britain should think again,B. O. Ndukwe,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_29,1968,March,29,4,,,BR
df_092,df_1968-04-01.pdf,Welcomed from the Grave,C. C. Ashimole,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_01,1968,April,1,4,,,SU
df_093,df_1968-04-03.pdf,Yes Action; But…,Oscar Nnabugwu,,Umuahia,7.49461,5.52491,Daily Flash,1968_04_03,1968,April,3,4,df_084; df_086,,Concerns
df_094,df_1968-04-03.pdf,Let's control our tongues,I. N. Abai,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_03,1968,April,,,,,
df_095,df_1968-04-04.pdf,"Change the name ""Kakadu""",Ngozi R. O. Jaja,Female,Enugu,7.511111,6.44455,Daily Flash,1968_04_04,1968,April,4,4,,,"Women, Nat ID, TZN"
df_096,df_1968-04-04.pdf,Kakadu not Yoruba,Guy Ike Ikokwu,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_04,1968,April,,,,,
df_097,df_1968-04-05.pdf,Long Live the Head of State,Cyril L. O. Nwaeke,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_05,1968,April,5,4,,,Concerns
df_098,df_1968-04-05.pdf,Landlords and Tenants,Richard Ndukwe,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_05,1968,April,,,,,
df_099,df_1968-04-06.pdf,A Letter to Gowon,J. N. Nmebe,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_06,1968,April,6,4,,,"Women, MLK/ Black Am"
df_100,df_1968-04-08.pdf,Gowon aids our War effort,Eke Ijere Ojukwu,Male,Item,7.57112,5.61994,Daily Flash,1968_04_08,1968,April,8,4,,,"BR, Concerns, MLK/ Black Am"
df_101,df_1968-04-08.pdf,Fine Them,I. O. Elea,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_08,1968,April,,,,,
df_102,df_1968-04-09.pdf,Good job Port Harcourt,S. Simbi,,Aba,7.373265,5.121588,Daily Flash,1968_04_09,1968,April,9,4,,,"Women, MLK/ Black Am, Concerns"
df_103,df_1968-04-10.pdf,House rent problem,Emmanuel Gilbert Kalu,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_10,1968,April,10,4,df_098,,Concerns
df_104,df_1968-04-11.pdf,Penalise those who won't comb,Ndubuisi,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_11,1968,April,11,4,df_033,,"TZN, Concerns, Policies"
df_105,df_1968-04-11.pdf,This is just why we are fighting,J. Asgwara-Onuoha,,Enugu,7.511111,6.44455,Daily Flash,1968_04_11,1968,April,,,,,
df_106,df_1968-04-12.pdf,What an unjust world?,Ibe Iloka,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_12,1968,April,12,3,,,"BR, MLK/ Black Am, TZN"
df_107,df_1968-04-13.pdf,Don't help the Enemy,I. N. Abai,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_13,1968,April,13,4,,,"Women, Concerns"
df_108,df_1968-04-13.pdf,Gowon should accept defeat,John Anokwu,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_13,1968,April,,,,,
df_109,df_1968-04-15.pdf,What are we waiting for?,A. Odoemenam,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_15,1968,April,15,4,,,"TZN, BR"
df_110,df_1968-04-15.pdf,Thank you Umunya people,Tuncy O. C. Egenti,,Umuahia,7.49461,5.52491,Daily Flash,1968_04_15,1968,April,,,,,
df_111,df_1968-04-16.pdf,R.I.P to Hunter in advance,Pat Onyenyeonwu,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_16,1968,April,16,4,,,"TZN, BR, SU"
df_112,df_1968-04-17.pdf,Thank you Tanzania,Grace C. Obiekwe,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_17,1968,April,17,4,,,"Women, TZN, BR"
df_113,df_1968-04-18.pdf,We must all be involved,A Kalabari son,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_18,1968,April,18,4,,,"TZN, BR, Nat ID, Concerns"
df_114,df_1968-04-18.pdf,Why not Tanzania Street?,F. O. J. Ekwughalu,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_18,1968,April,,,df_082,,
df_115,df_1968-04-20.pdf,The meaning of Recognition,Chioma V. Chigbu,Female,Umuobiakwa,7.45779,5.15212,Daily Flash,1968_04_20,1968,April,20,4,,,Women
df_116,df_1968-04-23.pdf,God Bless Nyerere,S. C. Madison,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_23,1968,April,23,3,df_112,,"Women, TZN, ZMB, BR, Concerns"
df_117,df_1968-04-23.pdf,Let us be more vigilant,Victoria Uwaeme,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_23,1968,April,,,,,
df_118,df_1968-04-24.pdf,"""Won Nigeria"" Indeed",Miss Kesi,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_24,1968,April,24,3,,,"Women, TZN"
df_119,df_1968-04-25.pdf,Good News,Grace C. Obiekwe,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_25,1968,April,25,4,,,"Women, Sports, MLK/ Black Am"
df_120,df_1968-04-25.pdf,God's Own Country,Dan Okereke,Male,Aba,7.373265,5.121588,Daily Flash,1968_04_25,1968,April,,,,,
df_121,df_1968-04-29.pdf,Blockade has helped us,Ephraim K. Ejibe,Male,Aba,7.373265,5.121588,Daily Flash,1968_04_29,1968,April,29,4,,,"TZN, BR, Nat ID"
df_122,df_1968-04-29.pdf,Immotalise Nyerere,Hope Oji,,Arochukwu,7.91235,5.38941,Daily Flash,1968_04_29,1968,April,,,df_112; df_116,,
df_123,df_1968-04-30.pdf,Smatching the specials,Michael O. Uzomah,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_04_30,1968,April,30,4,,,BR
df_124,df_1968-05-01.pdf,The Spirit of Port Hrcourt,E. J. E. Arriy,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_05_01,1968,May,1,4,,,"TZN, BR"
df_125,df_1968-05-01.pdf,Emulate Nyerere,Blassed Agwu Okocha,,Aba,7.373265,5.121588,Daily Flash,1968_05_01,1968,May,,,df_112; df_116; df_122,,
df_126,df_1968-05-04.pdf,Acknowledged Failure,Emeka Onwusika,Male,Aba,7.373265,5.121588,Daily Flash,1968_05_04,1968,May,4,4,,,"TZN, BR"
